,Email Text,Email Type
45,"Dear upper year ASIP students,

This is a quick reminder! Deadline to apply is Monday March 11th.

Best,

ASIP team",Safe Email
46,"Hello there! 

  

Thank you for registering on CLNx for the upcoming University of Toronto Career Fair - September 19 (In-person) at the St. George downtown campus. We can’t believe we’re less than a week away from the big day! We will see over 80 employers across industries interested in hiring students and recent graduates from diverse academic backgrounds. Please check the University of Toronto Career Fair - September 19 (In-person) CLNx event for an updated list of employers.   

  

To support your preparation to get the most out of the fair, we encourage you to review the resources attached to this e-mail: 

U of T Career Fair 2023 Student Resource Guide (pdf) 
U of T Career Fair 2023 Floor Maps (pdf) 
Developing Your Elevator Pitch (pdf) 
Should you require any accommodations or further support in accessing the content in this guide or the fair more broadly, please direct your e-mail to Mary Stefanidis, Assistant Director, Employer Recruitment & Engagement at events@careers.utoronto.ca. 

  

Looking forward to meeting you next week! 😊 

  

Sincerely, 

The U of T Career Fair 2023 Planning Committee ",Safe Email
47,"Polish up those portfolios! New College Orientation 2023 is hiring a Graphic Designer!!! 

More details here: https://www.newcollege.utoronto.ca/student-experience/orsl/jobs-and-volunteer-opportunities/  

Deadline to apply: May 17, 2023 ",Safe Email
48,"Say hi to HI, your Virtual Health Care service! 

Imagine: you're in your dorm, binge-watching shows or tackling assignments, and suddenly you need a doctor. But you have no time to deal with waiting rooms or searching for an appointment that fits your schedule. So what do you do? No worries—HI is here to help!
 
So, what is HI anyway?  
HI is basically your new health sidekick. It brings doctors, nurses, and medical advice right to your screen. Need a medical opinion? Need to renew a prescription asap? Have a health-related question while pulling an all-nighter? HI can help with all that.
 
Why you'll love it: 
Zero fuss: No more going to the clinic. Connect with HI from the comfort of your home.
Super quick: Connect with doctors fast. No waiting rooms, just instant care.
Always open: Support is available 24/7.
 
Ready to get started? 
Signing up is easy. Just click the link below. 
Sign up now
 
Bringing health care to you, one virtual step at a time.
 
Wishing you a healthy year,
Your Plan administrator, Studentcare

This email was sent on behalf of your students' union.
Check out the Studentcare website for details and eligibility: www.studentcare.ca.",Safe Email
49,"Hey there!

Guess what? You have access to support through the student assistance program Empower Me.
 
What is Empower Me?
It’s a confidential mental health and wellness support service provided by Dialogue, available 24/7, 365 days a year.

No issue is too big or too small—regardless of what you’re experiencing, you’re not alone. Empower Me has a number of professionals with various domains of expertise to support you and respond effectively to your needs.

You can get support for issues of any kind, such as:
School
Friends & Relationships
Financial Worries

Stress, Anxiety, or Depression
Career Choices
Nutrition
Sign up now
 
Find more information about Empower Me and eligibility criteria at www.studentcare.ca.
 
Take good care of yourself. Why not start now?
 
Wishing you a healthy year,
Your Program administrator, Studentcare

This email was sent on behalf of your [nomenclature].
Check out the Studentcare website for details and eligibility: www.studentcare.ca.
 
Contact us
Privacy Policy
Unsubscribe
This email is intended only for and has been sent to you on behalf of your [nomenclature]. 

Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.

Studentcare is the largest Canadian provider of health and dental plans for students.

Copyright © 1996–2024 Studentcare. All rights reserved.

This email was sent by Studentcare.

1200 McGill College Ave., Suite 2200, Montreal, Quebec H3B 4G7, Canada",Safe Email
50,"Advising Hubs - CS Hiring Process & Technical Interviews
MAR 8. 2-3:00PM.
SS1071 (NEW LOCATION!)
moderated by Prof. Mario Badr

Learn about technical interviews and the CS job application & hiring process from our Amazon insider!
Have a question? Let us know: uoft.me/tech-interviews

Replies to this email will be posted as a reply to the announcement, which will be seen by everyone in the course.",Safe Email
51,"WE'RE HIRING FOR ORIENTATION 2022!!!
⁠
Are you looking to get involved at New College? Interested in being a part of orientation week? Want to develop a variety of skills? Apply for the Peer Leader position today! ⁠
⁠
Peer Leader apps close Monday, May 16 at 9AM EST!
⁠
Peer Leaders act as leaders and role models to incoming students during New Roots Orientation and New Journeys International Welcome. What this role looks like in practice:⁠

Prior to New Roots Orientation Peer Leaders attend Orientation Leader training.⁠
During New Roots, Peer Leaders are assigned a group of approximately 20 students (between two leaders). Peer Leaders are responsible for welcoming these students and facilitating connections, conversations, and fun!⁠
Peer Leaders share resources and help make referrals to services on campus.⁠
CCR validation!⁠
⁠
Check out tinyurl.com/NCSLHiring to learn more and submit your application today.⁠
⁠
Have questions? Email us at new.studentlife@utoronto.ca

https://www.newcollege.utoronto.ca/studentlife/get-involved/leadership-roles/sll-hiring/ ",Safe Email
52,"We're Hiring a Graphic Designer!
⁠
This is an honorarium paid position ($800.00 stipend provided upon completion of contract tasks). The role includes:⁠

Meet with members of the Orientation executive team to conceptualize a brand guide⁠
Use provided brand guide to develop graphics for New College Orientation 2022 including, but⁠
not limited to: the New College Orientation 2022 logo, t-shirt designs, and social media campaign templates⁠
Meet with members of the Orientation executive team to present design options, discuss⁠
feedback, and finalize designs⁠
⁠
Applications are due on Sunday April 10, 2022 at 11:59 PM EST. Application includes a short written application, a resume, and a portfolio (check the links below for details).⁠
⁠
IMPORTANT: You must email your resume and portfolio to new.oc@utoronto.ca for your application to be considered complete. The portfolio you submit should contain a minimum of one and a maximum of five pieces that reflect your strongest/most relevant design work. Please review the full job description below for more details!⁠
⁠
Link to Graphic Designer 2022 Position Description:⁠
https://www.newcollege.utoronto.ca/wp-content/uploads/2022/03/2022_New-College-Graphic-Design-Information.pdf⁠ 
⁠
Graphic Designer Application: https://forms.office.com/Pages/ResponsePage.aspx?id=JsKqeAMvTUuQN7RtVsVSEGvnyqbWA9tJjqW1VCqE9-pUOVYwQlRGSUVGSzlEVlRMSjlWOVRUUldWUC4u⁠ 
⁠
New College Student Life & Leadership Hiring:⁠
https://www.newcollege.utoronto.ca/studentlife/get-involved/leadership-roles/sll-hiring/ ",Safe Email
53,"Hi everyone,
This week’s session will be canceled and I won’t be posting a survey for alternative times. Sorry again we weren’t able to hold the session.
Peer mentor job postings announcement:
The Faculty of Arts and Science is hiring Peer Mentors and Assistant Peer Mentors for the Computer Science First Year Learning Communities (FLCs).

Learning Community Peer Mentors and Assistant Peer Mentors play an integral role in providing mentorship and facilitating a welcoming and supportive community for a small group of first or second year students within the Department of Computer Science. The FLC/SLC program in the Faculty of Arts and Science is designed to foster a sense of community by providing students with the opportunity to meet classmates in their program and department, learn how to apply their classroom knowledge to real-world situations and to understand the range of research and career opportunities available to them.
 
FLCs and SLCs are small groups of students who get together on a bi-weekly basis for useful and engaging activities that cover academic, developmental and career themes. Each learning community will be facilitated by a Peer Mentor (an upper-year student) and an Assistant Peer Mentor, with the guidance of a Staff Advisor and Faculty Advisor. 

Peer Mentors will be required to work 15 hours per month, including attending each bi-weekly session. Assistant Peer Mentors will be required to work 10 hours per month, including attending each bi-weekly session. 

Rate of pay: $15.15 /hour 

Qualifications 

First Year Learning Communities (FLC):  

Be enrolled in a Computer Science program in the Faculty of Arts & Science. 
Successful completion of the following core courses: 
(CSC108H1 and CSC148H1 and CSC165H1) OR (CSC110H1 and CSC111H)  
MAT137H1 or MAT157Y1  
Experience developing and delivering programs for students and/or small group facilitation. 
Strong ability to reflect on, and communicate about, student experiences. 
Ability to work both independently and as a member of a team. 
Ability to work effectively with staff and faculty advisors, fellow peer mentors and a cohort of first-year students. 
Strong interest and passion to help new students make a positive transition to the University of Toronto. 
Strong understanding of equity, diversity & inclusion practices and experience working with diverse populations. 
Strong verbal and written communication, listening, and conflict resolution skills. 
Familiarity with resources available through the Department of Computer Science, Arts & Science and University of Toronto. 
Experience in and/or familiarity with the FLC/SLC program, an asset 
Good academic standing (minimum cumulative GPA of 2.50). 
Peer Mentors are to be a third- or fourth-year students who have completed at least 10 credits as of the coming September. 

Assistant Peer Mentors are to be second-year students who have completed at least 5 credits as of the coming September. 

Peer Mentors and Assistant Peer Mentors must be available  during their scheduled 90-minute FLC sessions from September to April (Historically this FLC is held either on Tuesdays from 9:30-11:00 a.m. OR on Wednesday from 3:00-4:30 p.m.). 

The Faculty of Arts & Science encourages applicants that will continue to expand and diversify the backgrounds, experiences and identities amongst members of our team, including students who have joined the faculty through an access program, Black, Indigenous or racialized students, students with a disability, students of religious/spiritual communities, 2SLGBTQ+ students and mature students. 

Application Deadline: February 22, 2022 

Apply Now!  ",Safe Email
54,"Hello RSG community! 

We hope your assignments and tests are going well and you get some well deserved rest soon with reading week just round the corner!  We're here to remind you that Program Exploration Days continues next week and if you're interested in working with us, the deadline to submit your job application is also next week.  Continue reading for more details.     

  

Work With Us!  We're hiring students for roles on the Student Success Team
Looking for a job for the 2022-2023 academic year?  We're hiring over 100 students to support the RSG program and other Arts & Science Programs! Summer Internships and Summer, Fall/Winter positions available.

Deadline to apply: February 22, 2022

Check out our job postings page for position descriptions and applications.

 

Program Exploration Days February 16, 2022:  Social Sciences, Humanities & Rotman Commerce Program Exploration Days Reading Week AMA (Ask Me Anything) Sessions on @sidneysmithcommons Instagram
February 22: Computer Science and Math & Physical Sciences
February 23: Life Sciences
February 24: Social Science, Humanities & Rotman Commerce
Get more info about programs to choose if you're set to complete 4 FCEs this term!  Register to attend Program Exploration Days to receive your Zoom link.

If you missed any of the events, we're also hosting AMA sessions all next week on the @sidneysmithcommons Instagram.

You're also welcome to attend events hosted by your college and various academic departments.  See the Arts & Science Program Exploration Days page for full details.

 

Questions? 
Reach out to us: 

Email us rsg.artsci@utoronto.ca 
Chat with us on the SSC Live Chat 
Message us @sidneysmithcommons 
Thank you again for being a part of the RSG program.  We look forward continuing to study together with you on our new RSG streamed Quercus Courses!",Safe Email
55,"JOIN US FOR OUR GENERAL HIRING INFO SESSION HAPPENING TOMORROW!!!

Are you looking to get involved at New College? Interested in being a part of orientation and/or mentorship? Want to develop a variety of skills? Apply for a Student Life leadership position today!

Applications are open for ALL Student Life positions! Visit tinyurl.com/NCSLHiring to learn more about all roles and submit your application.

Leadership Roles Available:

ORIENTATION EXECUTIVE
HEAD PEER LEADER
PEER LEADER
SPROUT MENTOR
E-MENTOR
Have questions or want to learn more about our different leadership positions? Join our info session and meet previous leaders!

When: Wednesday, January 12 @12PM EST

Join Zoom Meeting https://us02web.zoom.us/j/89174541460?pwd=RDdPMEFUV0krbDFNekxEeUVjdnduZz09 

Meeting ID: 891 7454 1460

Passcode: 007733",Safe Email
56,"Applications for Winter 2025 CSC454/491 are now open! Please review the new application information on our balloting page

CSC454 and CSC491 applications are due Monday July 29, 2024, 11:59 PM EST",Safe Email
57,"Dear all,

We are now scanning all of your test 1 and uploading them to GradeScope for marking.

If you don't register GradeScope yet, please register it as soon as possible since we need to put your test 1 under your account. If you don't have an account, your test will not be marked.  To see how to register, check Get started with MAT137(Step 5). Please put your full name under your account with your uoft email and student number. 

If you already have a GradeScope account, please make sure to put your full name, uoft email and student number under your account. It's really important to have both of u of t email and student number in your account since some students' names on the test are not the same names on Quercus. We need to identify you by using your student number and uoft email. 

Thanks a lot for your cooperation and have a nice weekend!

 

Xiaoyue Cui
MAT137 Course Coordinator",Safe Email
58,"May 8, 2024

Dear Students,

We will continue to work towards dialogue and a peaceful resolution to the encampment at the St. George campus. We have repeatedly asked organizers of the encampment to urgently address concerning safety issues before any further discussions take place.

We have witnessed:
Hateful messages and speech as well as altercations
Large piles of firewood inside the fenced-off encampment area
Two fires burning inside the fenced area
Blocked reinforced exit points, which prevent safe passage in case of fire or medical emergency
Impeded routes for emergency vehicles around the perimeter of the encampment
Significant tent and population density within the fenced area
Non-U of T community members entering, leaving or staying in the encampment overnight
Attempts by unauthorized vehicles to gain access to a pedestrian area of campus and drive into the encampment
Because of the ongoing encampment, two demonstrations numbering in the thousands (including some with flares and smoke bombs) have come to University grounds well into the evening. As the summer term has begun, students are living in nearby residence buildings, and this poses an additional safety risk.

We know that some members of our community feel unwelcome and unsafe on campus due to the encampment. We must reiterate that the University accepts and encourages the widest range of debate, and has a high threshold for expression, including speech and imagery that is uncomfortable and offensive to some. Discrimination and harassment exceed this threshold. We are committed to peaceful protest.

Our accountability for the health and safety of our community is a critical priority. We look forward to resolving these concerns and moving on to substantive discussions as quickly as possible

We will continue to send periodic updates, and you can find a list of frequently asked questions on the UTogether site.

Sincerely,

Sandy Welsh
Vice-Provost, Students

Professor Kelly Hannah-Moffat
Vice-President, People Strategy, Equity & Culture",Safe Email
59,"Dear Arts &  Science students,


This message confirms that Summer F and Y classes begin this Monday May 6 as scheduled. In response to the ongoing encampment at King's College Circle, some buildings may have restricted access and students may be asked to show their T-cards for entry. Please keep these things in mind as you begin classes this week.

For institutional updates, refer to utoronto.ca/utogether.


Sincerely,

Office of the Faculty Registrar",Safe Email
